rule,family,seed,n_bought,precision,recall,n_fake_bought,holdout_bought,holdout_rejected
bh_0.2,bh,4,4,0.5,0.4,2,0.7978480431455548,0.0831634322866725
bh_0.4,bh,4,4,0.5,0.4,2,0.7978480431455548,0.0831634322866725
fixed_0.01,fixed,4,2,0.5,0.2,1,0.336869065708415,0.16713940287924553
fixed_0.025,fixed,4,4,0.5,0.4,2,0.7978480431455548,0.0831634322866725
fixed_0.05,fixed,4,4,0.5,0.4,2,0.7978480431455548,0.0831634322866725
fixed_0.1,fixed,4,6,0.6666666666666666,0.8,2,1.264719822272047,-0.09311156339985742
topk_2,topk,4,2,0.5,0.2,1,0.336869065708415,0.16713940287924553
topk_3,topk,4,3,0.3333333333333333,0.2,2,0.3775756164585264,0.15633016898741203
topk_5,topk,4,5,0.6,0.6,2,0.8812284919730852,0.03789995808681116
fixed_be_0.05,fixed_be,4,2,1.0,0.4,0,0.9789404678355684,0.12127715987016316
fixed_be_0.1,fixed_be,4,3,1.0,0.6,0,1.7133524698126645,0.007910518614730001
bh_0.1,bh,5,3,0.6666666666666666,0.4,1,1.5045720488776932,-0.2743901112984928
bh_0.2,bh,5,3,0.6666666666666666,0.4,1,1.5045720488776932,-0.2743901112984928
bh_0.4,bh,5,3,0.6666666666666666,0.4,1,1.5045720488776932,-0.2743901112984928
fixed_0.01,fixed,5,3,0.6666666666666666,0.4,1,1.5045720488776932,-0.2743901112984928
fixed_0.025,fixed,5,3,0.6666666666666666,0.4,1,1.5045720488776932,-0.2743901112984928
fixed_0.05,fixed,5,3,0.6666666666666666,0.4,1,1.5045720488776932,-0.2743901112984928
fixed_0.1,fixed,5,3,0.6666666666666666,0.4,1,1.5045720488776932,-0.2743901112984928
topk_2,topk,5,2,0.5,0.2,1,1.6160019135450168,-0.21881502448272352
topk_3,topk,5,3,0.6666666666666666,0.4,1,1.5045720488776932,-0.2743901112984928
topk_5,topk,5,5,0.8,0.8,1,0.49220964387991095,-0.21423460311303116
fixed_be_0.05,fixed_be,5,3,0.6666666666666666,0.4,1,1.5045720488776932,-0.2743901112984928
fixed_be_0.1,fixed_be,5,3,0.6666666666666666,0.4,1,1.5045720488776932,-0.2743901112984928
bh_0.1,bh,6,1,0.0,0.0,1,-0.3586008584841945,-0.5246691165135343
