vendor,wf_sharpe,naive_sharpe,selection_cost,config_switches,modal_config,modal_config_frac,n_folds,wf_sharpe_per_fold,seed,true_ic,kind,rank
vendor_04,0.46245380774676964,0.5760523320953449,0.11359852434857526,0,smooth1_top25,1.0,5,1.907;0.098;-2.756;1.953;1.031,12,0.01,REAL,8
vendor_07,0.37773388659987944,0.45324279386216365,0.07550890726228421,0,smooth1_all,1.0,5,0.433;-1.942;2.923;0.840;-0.238,12,0.0,fake,9
vendor_11,-0.16626225082037155,-0.09265952316981943,0.07360272765055212,0,smooth1_top25,1.0,5,1.888;-1.948;-0.629;0.439;-0.632,12,0.0,fake,10
vendor_05,-0.36405577924637544,-0.24607041923743142,0.11798536000894402,0,smooth5_all,1.0,5,0.221;0.840;0.261;-1.526;-1.423,12,0.0,fake,11
vendor_06,-0.8834240757206597,0.5516296271983824,1.435053702919042,1,smooth20_top25,0.8,5,-2.154;-0.194;-0.577;-1.101;-0.515,12,0.0,fake,12
vendor_00,1.9022739840250456,1.9283109808757473,0.02603699685070171,2,smooth1_all,0.6,5,4.101;1.304;1.883;2.115;-0.126,13,0.05,REAL,1
vendor_01,1.902273984025045,1.9283109808757473,0.026036996850702154,2,smooth1_all,0.6,5,4.101;1.304;1.883;2.115;-0.126,13,0.04,REAL,2
vendor_02,1.902273984025045,1.9283109808757473,0.026036996850702154,2,smooth1_all,0.6,5,4.101;1.304;1.883;2.115;-0.126,13,0.03,REAL,3
vendor_03,1.8077644284507886,1.8954851766076322,0.08772074815684361,1,smooth1_top25,0.6,5,4.191;1.106;2.038;2.054;-0.338,13,0.025,REAL,4
vendor_10,0.9204093828544481,0.9746695762255997,0.05426019337115162,0,smooth1_top25,1.0,5,2.276;-2.538;2.687;-0.766;2.691,13,0.0,fake,5
vendor_04,0.8748284082097828,1.3800003698303493,0.5051719616205665,1,smooth20_top25,0.8,5,2.435;1.180;1.019;0.014;-0.340,13,0.01,REAL,6
